slice,B_Area1_5
224,0.1399
224,0.009289
225,0.3957
226,0.4625
226,0.02005
227,0.5823
227,0.00203
227,0.000246
227,0.05856
227,0.01433
228,0.7429
229,0.7862
229,0.003076
230,0.8225
230,0.000123
231,0.7811
231,0.000185
231,0.02215
231,0.002707
231,0.000062
232,0.000246
232,0.000123
232,0.3092
232,0.000123
232,0.000062
232,0.000123
232,0.02436
232,0.000062
232,0.000062
232,0.3184
232,0.000123
232,0.000062
232,0.000062
232,0.000062
232,0.000308
232,0.000062
232,0.000062
232,0.000062
232,0.000185
232,0.000062
232,0.01144
232,0.000062
233,0.000062
233,0.000123
233,0.3217
233,0.0008
233,0.000062
233,0.000062
233,0.000062
233,0.000123
233,0.000062
233,0.000185
233,0.000062
233,0.000492
233,0.2074
233,0.05198
233,0.000062
233,0.000062
233,0.000062
233,0.0104
233,0.000062
233,0.000123
234,0.4018
234,0.000185
234,0.000062
234,0.001107
234,0.000246
234,0.000984
234,0.000369
234,0.000062
234,0.000062
234,0.000861
234,0.000123
234,0.000062
234,0.000062
234,0.000123
234,0.03051
234,0.000062
234,0.000062
234,0.000677
234,0.000123
234,0.000062
234,0.2151
234,0.04035
234,0.000123
234,0.000923
234,0.008612
