slice,B_Area4
1,0.002276
1,0.000246
1,0.006398
1,0.3504
1,0.000123
1,0.000062
1,0.000554
1,0.000123
1,0.000062
1,0.000062
1,0.00283
1,0.000246
1,0.000062
1,0.02454
1,0.000062
1,0.000123
1,0.000062
1,0.03888
1,0.02454
1,0.07609
1,0.000062
1,0.00406
1,0.1137
1,0.000062
1,0.000369
1,0.000062
1,0.000062
1,0.000062
1,0.00406
1,0.000123
1,0.000123
1,0.000123
1,0.000185
1,0.0115
1,0.000062
1,0.000062
1,0.000062
1,0.000062
1,0.000062
1,0.000308
1,0.000062
1,0.000677
1,0.000062
1,0.001907
1,0.000123
1,1.534
1,0.000123
1,0.000185
1,0.003137
1,0.000123
1,0.000062
1,0.000185
1,0.004675
1,0.000984
1,0.02553
1,0.000062
1,0.06594
1,0.000677
1,0.000308
1,0.000123
1,0.000123
1,0.000369
1,0.000062
1,0.000062
1,0.000123
1,0.000062
1,0.000246
1,0.000062
1,0.006521
1,0.000062
1,0.000123
1,0.03863
1,0.000123
1,0.000123
1,0.000246
1,0.000062
1,0.000062
1,0.02387
1,0.000185
1,0.000246
1,0.000246
1,0.03027
1,0.000062
1,0.000246
1,0.000062
1,0.000062
1,0.07775
1,0.000062
1,0.000308
1,0.000062
1,0.000062
1,0.000062
1,0.000369
1,0.000062
1,0.05327
1,0.000062
1,0.02744
1,0.00486
1,0.000123
1,0.02848
1,0.000062
1,0.000123
1,0.000123
1,0.000123
1,0.001292
1,0.07173
1,0.000062
1,0.006767
1,0.001722
1,0.000062
1,0.000123
1,0.000123
1,0.000062
1,0.000062
1,0.000123
1,0.000062
1,0.000062
1,0.000431
1,0.000062
1,0.02245
1,0.000062
1,0.000123
2,0.000062
2,0.000677
2,0.000492
2,0.03506
2,0.001476
2,0.000738
2,0.000123
2,0.000062
2,0.001292
2,0.000062
2,0.324
2,0.000062
2,0.000123
2,0.000308
2,0.001169
2,0.000123
2,0.000185
2,0.03316
2,0.000185
2,0.000554
2,0.000062
2,0.000062
2,0.04478
2,0.000369
2,0.000123
2,0.000123
2,0.000185
2,0.000369
2,0.01655
2,0.06072
2,0.000861
2,0.000185
2,0.000062
2,0.000062
2,0.000062
2,0.008489
2,0.000246
2,0.04103
2,0.000431
2,0.000123
2,0.000062
2,0.007505
2,0.000246
2,0.000062
2,0.01501
2,0.000062
2,0.000062
2,0.02559
2,0.005659
2,0.000308
2,0.000062
2,0.000123
2,0.000062
2,0.000062
2,0.001353
2,0.000185
2,0.000431
2,0.000984
2,0.000062
2,1.596
2,0.000062
2,0.000062
2,0.000554
2,0.002584
2,0.0764
2,0.000062
2,0.000062
2,0.00812
2,0.000123
2,0.04392
2,0.000185
2,0.000062
2,0.04712
2,0.000185
2,0.000123
2,0.000062
2,0.07388
2,0.02602
2,0.04749
2,0.000062
2,0.000123
2,0.003199
2,0.000185
2,0.000062
2,0.000615
2,0.03931
2,0.000062
2,0.000062
2,0.000062
2,0.000185
2,0.000062
2,0.000246
2,0.000062
2,0.000062
2,0.000062
2,0.000369
2,0.000246
2,0.001353
2,0.000185
2,0.000308
2,0.005229
2,0.004368
2,0.000123
2,0.001538
2,0.000984
2,0.02233
2,0.000062
2,0.000062
2,0.000554
2,0.000062
2,0.000185
3,0.000062
3,0.4032
3,0.000123
3,0.1022
3,0.000123
3,0.000431
3,0.000062
3,0.000062
3,0.000062
3,0.000308
3,0.000923
3,0.06342
3,0.001169
3,0.000123
3,0.000062
3,0.000677
3,0.05438
3,0.000062
3,0.000185
3,0.02639
3,0.008858
3,0.000246
3,0.000062
3,0.000185
3,0.002276
3,0.000246
3,0.001907
3,0.09799
3,1.354
3,0.08563
3,0.000062
3,0.000062
3,0.000062
3,0.003383
3,0.000062
3,0.001353
3,0.001538
3,0.007443
3,0.000062
3,0.000185
3,0.000062
3,0.003137
3,0.000123
3,0.000062
3,0.000062
3,0.05376
3,0.000062
3,0.000062
3,0.000062
3,0.008181
3,0.000185
3,0.000062
3,0.000062
3,0.0299
3,0.000185
3,0.000062
3,0.07997
3,0.06354
3,0.000062
3,0.02098
3,0.000062
3,0.000062
3,0.000123
3,0.000062
3,0.007997
3,0.000123
3,0.0008
3,0.005352
3,0.000123
3,0.000246
3,0.000062
3,0.000062
3,0.07782
3,0.000185
3,0.000062
3,0.000062
3,0.0195
3,0.001353
3,0.001722
3,0.000062
3,0.000062
3,0.01126
3,0.000431
3,0.03008
3,0.000062
3,0.000308
3,0.0187
3,0.000308
3,0.000062
4,0.000062
4,0.5195
4,0.000185
4,0.02381
4,0.000062
4,0.000062
4,0.000062
4,0.000062
4,0.000246
4,0.000062
4,0.000062
4,0.000123
4,0.000123
4,0.04214
4,0.0478
4,0.000062
4,0.05709
4,0.000062
4,0.002768
4,0.03174
4,0.001415
4,0.002399
4,1.567
4,0.000062
4,0.000062
4,0.000308
4,0.002768
4,0.003506
4,0.000123
4,0.000062
4,0.000062
4,0.1088
4,0.008612
4,0.000062
4,0.000431
4,0.06705
4,0.000062
4,0.001046
4,0.000185
4,0.000123
4,0.000062
4,0.02725
4,0.06564
4,0.01175
4,0.000369
4,0.01316
4,0.000062
4,0.000123
4,0.04866
4,0.000615
4,0.000123
4,0.000062
4,0.000308
4,0.005229
4,0.000062
4,0.001476
4,0.000062
4,0.000185
4,0.01304
4,0.006767
4,0.000431
4,0.000123
4,0.000062
4,0.000062
4,0.000308
4,0.03426
4,0.02036
4,0.000431
4,0.000308
5,0.000308
5,0.000062
5,0.2488
5,0.008797
5,0.000062
5,0.000062
5,0.000185
5,0.000369
5,1.504
5,0.000062
5,0.000554
5,0.000062
5,0.000185
5,0.000123
5,0.000062
5,0.005967
5,0.006275
5,0.007443
5,0.005044
5,0.03328
5,0.000738
5,0.002338
5,0.000123
5,0.000123
5,0.02873
5,0.1486
5,0.0008
5,0.000062
5,0.000062
5,0.007997
5,0.000861
5,0.000677
5,0.07886
5,0.461
5,0.000123
5,0.000923
5,0.000062
5,0.000062
5,0.01569
5,0.05604
5,0.003629
5,0.009719
5,0.000246
5,0.01003
5,0.000123
5,0.001046
5,0.000185
5,0.000123
5,0.000062
5,0.000062
5,0.000123
5,0.000185
5,0.000123
5,0.003568
5,0.05339
5,0.000062
5,0.009904
5,0.03106
5,0.000062
5,0.000062
5,0.000246
5,0.01544
5,0.000185
5,0.000246
6,0.000062
6,1.802
6,0.000123
6,0.007689
6,0.000062
6,0.000062
6,0.001353
6,0.000062
6,0.000062
6,0.000062
6,0.000062
6,0.002768
6,0.000185
6,0.000062
6,0.000062
6,0.000062
6,0.000246
6,0.007074
6,0.000062
6,0.000062
6,0.000123
6,0.000062
6,0.01329
6,0.03439
6,0.0577
6,0.1872
6,0.005475
6,0.000062
6,0.005659
6,0.009043
6,0.000492
6,0.08895
6,0.000062
6,0.000062
6,0.000062
6,0.4265
6,0.000431
6,0.000185
6,0.01077
6,0.000062
6,0.000062
6,0.06521
6,0.01384
6,0.001845
6,0.000492
6,0.000062
6,0.000185
6,0.000431
6,0.00406
6,0.05918
6,0.000185
6,0.03162
6,0.002768
6,0.000062
6,0.0123
6,0.000123
6,0.000123
7,1.731
7,0.000308
7,0.000062
7,0.000062
7,0.003322
7,0.000062
7,0.000554
7,0.001107
7,0.000492
7,0.000062
7,0.000062
7,0.000062
7,0.000369
7,0.000062
7,0.001169
7,0.000062
7,0.000062
7,0.01058
7,0.000738
7,0.03389
7,0.08058
7,0.000554
7,0.001169
7,0.005721
7,0.000062
7,0.000062
7,0.007505
7,0.02005
7,0.3053
7,0.1206
7,0.3684
7,0.007751
7,0.000431
7,0.000246
7,0.000185
7,0.0684
7,0.001107
7,0.007136
7,0.000062
7,0.000062
7,0.000062
7,0.000062
7,0.000492
7,0.03494
7,0.05832
7,0.000492
7,0.01316
7,0.03402
8,0.000123
8,0.003875
8,0.001292
8,1.6
8,0.1941
8,0.002092
8,0.02098
8,0.01077
8,0.000062
8,0.000062
8,0.000062
8,0.03211
8,0.000123
8,0.000185
8,0.000246
8,0.002522
8,0.03433
8,0.2953
8,0.1163
8,0.387
8,0.000062
8,0.03051
8,0.000062
8,0.000431
8,0.000308
8,0.000062
8,0.02774
8,0.000062
8,0.000062
8,0.000062
8,0.000062
8,0.000062
8,0.000123
8,0.03648
8,0.09479
8,0.000431
8,0.000062
8,0.007013
8,0.002707
8,0.000123
8,0.001292
8,0.000246
9,0.000062
9,0.000062
9,1.841
9,0.000062
9,0.001538
9,0.000185
9,0.01347
9,0.000554
9,0.006336
9,0.000062
9,0.000062
9,0.001046
9,0.000431
9,0.002092
9,0.000062
9,0.000123
9,0.000246
9,0.009535
9,0.000123
9,0.000308
9,0.000369
9,0.01064
9,0.000062
9,0.04374
9,0.02768
9,0.000062
9,0.3039
9,0.1059
9,0.00123
9,0.000062
9,0.3645
9,0.003506
9,0.01993
9,0.000062
9,0.000123
9,0.000062
9,0.02627
9,0.000738
9,0.000185
9,0.003568
9,0.000123
9,0.01286
9,0.000246
9,0.02356
9,0.1078
9,0.000062
9,0.000062
9,0.000431
9,0.006521
9,0.000123
9,0.000246
9,0.000062
9,0.000431
9,0.000123
9,0.000062
9,0.000677
10,0.000062
10,0.000062
10,1.536
10,0.4359
10,0.00123
10,0.000062
10,0.000062
10,0.000123
10,0.000431
10,0.000062
10,0.000062
10,0.000185
10,0.000431
10,0.000185
10,0.000123
10,0.01261
10,0.000615
10,0.04478
10,0.03992
10,0.09978
10,0.2807
10,0.003506
10,0.3679
10,0.006336
10,0.04866
10,0.004675
10,0.01015
10,0.000062
10,0.000185
10,0.000062
10,0.1134
10,0.000062
10,0.000062
10,0.000123
11,0.000123
11,1.472
11,0.5152
11,0.000062
11,0.000062
11,0.000492
11,0.000062
11,0.000062
11,0.000062
11,0.000185
11,0.000062
11,0.000185
11,0.000062
11,0.000062
11,0.000123
11,0.006951
